No.,Gender,Solo/Group,ALBUM,Sales ,,,,
53,Female,Red Velvet,Red Velvet: THE REVE FESTIVAL 2022 - BIRTHDAY,1014751,1,,,
52,Female,Le Sserafim,LE SSERAFIM: ANTIFRAGILE,1026011,1,,,
51,Female,Itzy,ITZY: CHECKMATE,1032930,1,,,
50,Female,Itzy,ITZY: CHESHIRE,1056316,1,,,
47,Female,NewJeans,NewJeans: NEW JEANS,1068911,1,,,
46,Female,Twice,TWICE: BETWEEN 1&2,1130956,1,,,
40,Female,NewJeans,NewJeans: OMG,1243200,1,,,
29,Female,Blackpinl,BLACKPINK: THE ALBUM,1571118,1,,,
26,Female,IVE,IVE: AFTER LIKE,1667348,1,,,
21,Female,Aespa,aespa: GIRLS - THE 2ND MINI ALBUM,1823499,1,,,
11,Female,Blackpink,BLACKPINK: BORN PINK,2679375,1,,,
1,Male,BTS,BTS: MAP OF THE SOUL: 7,5022205,1,,,
2,Male,BTS,BTS: MAP OF THE SOUL : PERSONA,4627537,1,,,
3,Male,BTS,BTS: BE,3794402,1,,,
4,Male,BTS,BTS: PROOF,3503435,1,,,
5,Male,Seventeen,SEVENTEEN: 4TH ALBUM `FACE THE SUN`,3461702,1,,,
6,Male,BTS,BTS: LOVE YOURSELF: `ANSWER`,3369546,1,,,
7,Male,Stray Kids,Stray Kids: MAXIDENT,3256303,1,,,
8,Male,BTS,BTS: BUTTER,3173032,1,,,
9,Male,BTS,BTS: LOVE YOURSELF: `TEAR`,3116421,1,,,
10,Male,BTS,BTS: LOVE YOURSELF: `HER`,3110979,1,,,
12,Male,TXT,TXT: THE NAME CHAPTER: TEMPTATION,2634872,1,,,
13,Male,NCT 127,NCT 127: STICKER - THE 3RD ALBUM,2434408,1,,,
14,Male,Seventeen,SEVENTEEN: ATTACCA,2425978,1,,,
15,Male,NCT DREAM,NCT DREAM: HOT SAUCE - THE 1ST ALBUM,2168436,1,,,
16,Male,NCT DREAM,NCT DREAM: GLITCH MODE - THE 2ND ALBUM,2095544,1,,,
17,Male,NCT DREAM,NCT DREAM: CANDY - WINTER SPECIAL MINI ALBUM,2043067,1,,,
18,Male,NCT 127,NCT 127: 2 BADDIES - THE 4TH ALBUM,1979926,1,,,
19,Male,TXT,TXT: MINISODE 2: THURSDAY`S CHILD,1852840,1,,,
20,Male,NCT,NCT: UNIVERSE - THE 3RD ALBUM,1838636,1,,,
22,Male,Stray Kids,Stray Kids: ODDINARY,1807208,1,,,
23,Male,Seventeen,SEVENTEEN: SECTOR 17,1781925,1,,,
24,Male,Seventeen,SEVENTEEN: 7TH MINI ALBUM `HENGGGARAE',1701461,1,,,
25,Male,NCT,NCT: RESONANCE PT. 1,1670800,1,,,
27,Male,Stray Kids,Stray Kids: Noeasy,1606610,1,,,
28,Male,NCT,NCT: RESONANCE PT. 2,1591160,1,,,
30,Male,Enhypen,Enhypen: MANIFESTO: DAY 1,1563356,1,,,
31,Male,Seventeen,SEVENTEEN: YOUR CHOICE,1563059,1,,,
32,Male,NCT DREAM,NCT DREAM: BEATBOX,1517211,1,,,
33,Male,BTS,BTS: WINGS,1505245,1,,,
34,Male,Exo,EXO: DON'T MESS UP MY TEMPO,1452030,1,,,
35,Male,Seventeen,SEVENTEEN: AN ODE,1431885,1,,,
36,Male,BTS,BTS: YOU NEVER WALK ALONE,1410655,1,,,
37,Male,NCT DREAM,NCT DREAM: HELLO FUTURE,1382783,1,,,
38,Male,Enhypen,Enhypoen: DIMENSION: DILEMMA,1361057,1,,no. male,43
39,Male,Exo,EXO: DON'T FIGHT THE FEELING,1326189,1,,no. female,11
41,Male,Seventeen,SEVENTEEN: SEMICOLON,1238113,1,,,
42,Male,NCT 127,NCT 127: AY-YO,1207411,1,,,
43,Male,NCT 127,NCT 127: FAVORITE,1165336,1,,,
44,Male,TXT,TXT: THE CHAOS CHAPTERl FIGHT OR ESCAPE,1163217,1,,,
45,Male,BTS,BTS: THE MOST BEAUTIFUL MOMENT IN LIFE: YOUNG FOREVER,1138820,1,,,
48,Male,NCT 127,NCT 127: NEO ZONE,1064647,1,,,
49,Male,TXT,TXT: THE CHAOS CHAPTER: FREEZE,1057273,1,,,
54,Male,Ateez,Ateez: THE WORLD EP.1: MOVEMENT,1007575,1,,,
