No.,Gender,Aritst,Sales,bar colour,,,
1,Male,BTS,39424000,#0047AB,,,
2,Male,Seventeen,19534000,#0047AB,,,
3,Male,EXO,15223000,#0047AB,,,
4,Male,TXT,12492000,#0047AB,,,
5,Male,NCT DREAM,11468000,#0047AB,,,
6,Male,Stray Kids,10612000,#0047AB,,,
7,Male,NCT 127,10141000,#0047AB,,,male average 
8,Female,TWICE,9317000,red,,,female average
9,Male,Super Junior,7441000,#0047AB,,,
10,Male,NCT,5735000,#0047AB,,,
11,Female,Blackpink,5671000,red,,,
12,Male,Enhypen,5620000,#0047AB,,,
13,Male,Ateez,4479000,#0047AB,,,
14,Male,GOT7,4396000,#0047AB,,,
15,Female,Red Velvet,4314000,red,,,
16,Male,Big Bang,4216000,#0047AB,,,
17,Female,Girl's Gneration,4211000,red,,,
18,Male,Monsta X,3899000,#0047AB,,,
19,Male,Wanna One,3758000,#0047AB,,,
20,Female,Itzy,3670000,red,,,
21,Male,The Boyz,3628000,#0047AB,,,
22,Female,IVE,2989000,red,,,
