No.,Gender,Artist,Video2,Streams,Daily Increases,Color,Streams (in millions),Streams (in millions),ArtistVideoGender,,,,,,
1,Female,BLACKPINK,BLACKPINK  DDU-DU DDU-DU M/V (Female),2034167526,523489,red,2034.167526,2034.167526,BLACKPINK - DDU-DU DDU-DU M/V (Female),,,,,,????? (DDU-DU DDU-DU)? M/V
2,Male,BTS ,BTS - Dynamite Official MV (Male),1664977992,480219,blue,1664.977992,1664.977992,BTS - Dynamite Official MV (Male),,,,,,Dynamite' Official MV
3,Female,TWICE,TWICE - What is Love? M/V (Female),707037400,183756,red,707.0374,707.0374,TWICE - What is Love? M/V (Female),,,,,,"""What is Love?"" M/V"
4,Male,BIGBANG ,BIGBANG -  BANG BANG BANG M/V (Male),628965138,115633,blue,628.965138,628.965138,BIGBANG -  BANG BANG BANG M/V (Male),,,,,,??? (BANG BANG BANG) M/V
5,Male,iKON ,iKON - LOVE SCENARIO M/V (Male),619140543,135617,blue,619.140543,619.140543,iKON - LOVE SCENARIO M/V (Male),,,,,,???? ??(LOVE SCENARIO)? M/V
6,Female,MOMOLAND ,MOMOLAND - BBoom BBoom (Female),596956428,104598,red,596.956428,596.956428,MOMOLAND - BBoom BBoom (Female),,,,,,BBoom BBoom (??)
7,Female,ITZY ,ITZY - WANNABE M/V (Female),493768890,159102,red,493.76889,493.76889,ITZY - WANNABE M/V (Female),,,,,,"""WANNABE"" M/V "
8,Male,GOT7 ,GOT7 - Just right M/V (Male),41775025,240721,blue,41.775025,41.775025,GOT7 - Just right M/V (Male),,,,,,"""Just right(? ??)"" M/V"
9,Male,Stray Kids,Stray Kids - God's Menu M/V (Male),387294330,215888,blue,387.29433,387.29433,Stray Kids - God's Menu M/V (Male),,,,,,"""???(God's Menu)"" M/V"
10,Female,Red Velvet,Red Velvet - Bad Boy MV (Female),38098035,763204,red,38.098035,38.098035,Red Velvet - Bad Boy MV (Female),,,,,,Bad Boy' MV
11,Female,MAMAMOO,MAMAMOO - HIP MV (Female),376694575,132892,red,376.694575,376.694575,MAMAMOO - HIP MV (Female),,,,,,HIP [MV]
12,Male,GD X TAEYANG,GD X TAEYANG - GOOD BOY M/V (Male),35286691,449959,blue,35.286691,35.286691,GD X TAEYANG - GOOD BOY M/V (Male),,,,,,GOOD BOY M/V
13,Male,EXO ,EXO - Ko Ko Bop MV (Male),34447446,136121,blue,34.447446,34.447446,EXO - Ko Ko Bop MV (Male),,,,,,Ko Ko Bop' MV
14,Female,2NE1,2NE1 - I AM THE BEST M/V (Female),33911949,262835,red,33.911949,33.911949,2NE1 - I AM THE BEST M/V (Female),,,,,,?? ?? ? ??(I AM THE BEST) M/V
15,Female,NiziU ,NiziU - Make you happy M/V (Female),30622272,734641,red,30.622272,30.622272,NiziU - Make you happy M/V (Female),,,,,,Make you happy M/V
16,Female,Girls' Generation,Girls' Generation - Gee MV (Female),30563048,535624,red,30.563048,30.563048,Girls' Generation - Gee MV (Female),,,,,,Gee' MV
17,Female,EVERGLOW,EVERGLOW - DUN DUN MV (Female),275455922,50570,red,275.455922,275.455922,EVERGLOW - DUN DUN MV (Female),,,,,,DUN DUN MV
18,Male,NCT U,NCT U - Make A Wish (Birthday Song) MV (Male),267795079,64554,blue,267.795079,267.795079,NCT U - Make A Wish (Birthday Song) MV (Male),,,,,,Make A Wish (Birthday Song)' MV
19,Female,aespa ,aespa - Next Level MV (Female),261672148,71500,red,261.672148,261.672148,aespa - Next Level MV (Female),,,,,,Next Level' MV
