No.,Gender,Artist,Item,Streams,Daily Increases,Color,Streams (in millions),,ItemF,Daily IncreasesF,Streams (in millions)F,,,ItemM,Daily IncreasesM,Streams (in millions)M,,,ItemA,Daily IncreasesA,Streams (in millions)A,,,,
1,Female,BLACKPINK,BLACKPINK  DDU-DU DDU-DU M/V (Female),2034167526,523489,red,2034.167526,,BLACKPINK  DDU-DU DDU-DU M/V (Female),523489,2034.167526,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
2,Male,BTS ,BTS - Dynamite Official MV (Male),1664977992,480219,blue,1664.977992,,Male Average,130429,301.2914,,,BTS - Dynamite Official MV (Male),480219,1664.977992,,,Male Average,130429,301.2914,,male avg streams,male average daily,
3,Female,TWICE,TWICE - What is Love? M/V (Female),707037400,183756,red,707.0374,,TWICE - What is Love? M/V (Female),183756,707.0374,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,301.2913981,130428.9167,
4,Male,BIGBANG ,BIGBANG -  BANG BANG BANG M/V (Male),628965138,115633,blue,628.965138,,Male Average,130429,301.2914,,,BIGBANG -  BANG BANG BANG M/V (Male),115633,628.965138,,,Male Average,130429,301.2914,,,,
5,Male,iKON ,iKON - LOVE SCENARIO M/V (Male),619140543,135617,blue,619.140543,,Male Average,130429,301.2914,,,iKON - LOVE SCENARIO M/V (Male),135617,619.140543,,,Male Average,130429,301.2914,,female average streams,female average daily,
6,Female,MOMOLAND ,MOMOLAND - BBoom BBoom (Female),596956428,104598,red,596.956428,,MOMOLAND - BBoom BBoom (Female),104598,596.956428,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,314.0459992,201818,
7,Female,ITZY ,ITZY - WANNABE M/V (Female),493768890,159102,red,493.76889,,ITZY - WANNABE M/V (Female),159102,493.76889,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,,,
8,Male,GOT7 ,GOT7 - Just right M/V (Male),417750250,240721,blue,417.75025,,Male Average,130429,301.2914,,,GOT7 - Just right M/V (Male),240721,417.75025,,,Male Average,130429,301.2914,,,,
9,Male,Stray Kids,Stray Kids - God's Menu M/V (Male),387294330,215888,blue,387.29433,,Male Average,130429,301.2914,,,Stray Kids - God's Menu M/V (Male),215888,387.29433,,,Male Average,130429,301.2914,,Male Average,130429,301.2914
10,Female,Red Velvet,Red Velvet - Bad Boy MV (Female),380980350,763204,red,380.98035,,Red Velvet - Bad Boy MV (Female),763204,380.98035,,,Female Average,201818,314.0459992,,,Female Average,201818,314.0459992,,Female Average,201818,314.0459992
